shop_id,shop_name,region_code,product_id,product_name,score,rating,variant,template_index,template_name,content,source_key
"1","蔡徐坤ikun specialty store","BELL","1","Boat_KUN划船坤","10","夯爆了","1","2","风味平衡","[示例评价] Boat_KUN划船坤把整体风味的味道收得比较平衡，不会只剩单一的咸或甜；喜欢清爽口味的话可以少加酱汁。","9c8a9bd594884c79c14bcfd7"
"1","蔡徐坤ikun specialty store","BELL","1","Boat_KUN划船坤","8","人上人","2","3","口感变化","[示例评价] 这道Boat_KUN划船坤有意思的地方在口感变化：整体风味带来不同的咀嚼感，慢慢吃比急着吞更能尝出细节。","a00f8ce26d55ca9d86b3d7e9"
"1","蔡徐坤ikun specialty store","BELL","321","宫保鸡丁","10","夯爆了","1","10","复购判断","[示例评价] 这道宫保鸡丁的优点是鸡肉各有分工，吃完不会觉得味道散；如果这次合口味，下次还会想再点。","5d809046125414df6d9665c8"
"1","蔡徐坤ikun specialty store","BELL","321","宫保鸡丁","10","夯爆了","2","1","第一口印象","[示例评价] 第一口先尝到鸡肉的味道，层次很清楚；宫保鸡丁适合趁热吃，香气会更完整。","fb4ee0c54f3f54d46873ecac"
"1","蔡徐坤ikun specialty store","BELL","322","宫保鸡丁","9","顶级","1","4","香气表现","[示例评价] 端上来时鸡肉的香气很先声夺人，入口后味道也跟得上；作为一餐里的主角很合适。","d01888ffdc613d589053f105"
"1","蔡徐坤ikun specialty store","BELL","322","宫保鸡丁","8","人上人","2","5","食材搭配","[示例评价] 从鸡肉的搭配看，食材之间没有互相抢味，宫保鸡丁吃起来有自己的重点，配一杯清饮会更舒服。","617bebb8501c46de28a4a53d"
"1","蔡徐坤ikun specialty store","BELL","323","宫保鸡丁","10","夯爆了","1","5","食材搭配","[示例评价] 从鸡肉的搭配看，食材之间没有互相抢味，宫保鸡丁吃起来有自己的重点，配一杯清饮会更舒服。","c41be8a4d2d98204c7181c82"
"1","蔡徐坤ikun specialty store","BELL","323","宫保鸡丁","9","顶级","2","6","收尾回味","[示例评价] 咽下去以后还能留住一点鸡肉的回味，宫保鸡丁不是只靠第一口取胜，后段味道也有记忆点。","672a7a98778d4b91b8832cdc"
"2","Sitrus盛果庄 Fruit store","BELL","2","Indo Pomegranate印度石榴","8","人上人","1","10","复购判断","[示例评价] 这道Indo Pomegranate印度石榴的优点是整体风味各有分工，吃完不会觉得味道散；如果这次合口味，下次还会想再点。","b6078c8e8f85e1dbfa1710a3"
"2","Sitrus盛果庄 Fruit store","BELL","2","Indo Pomegranate印度石榴","9","顶级","2","1","第一口印象","[示例评价] 第一口先尝到整体风味的味道，层次很清楚；Indo Pomegranate印度石榴适合趁热吃，香气会更完整。","3761e34da4bb1ec9e58467ff"
"2","Sitrus盛果庄 Fruit store","BELL","3","Beibei Pumpkin贝贝南瓜","10","夯爆了","1","4","香气表现","[示例评价] 端上来时整体风味的香气很先声夺人，入口后味道也跟得上；作为一餐里的主角很合适。","1e0bb0f2442878a807a78dbe"
"2","Sitrus盛果庄 Fruit store","BELL","3","Beibei Pumpkin贝贝南瓜","9","顶级","2","5","食材搭配","[示例评价] 从整体风味的搭配看，食材之间没有互相抢味，Beibei Pumpkin贝贝南瓜吃起来有自己的重点，配一杯清饮会更舒服。","e0796a0e0941b531f3e70c8d"
"2","Sitrus盛果庄 Fruit store","BELL","4","NZ envy apple","10","夯爆了","1","6","收尾回味","[示例评价] 咽下去以后还能留住一点苹果的回味，NZ envy apple不是只靠第一口取胜，后段味道也有记忆点。","ac7b8c0cfe688daa709b14f6"
"2","Sitrus盛果庄 Fruit store","BELL","4","NZ envy apple","6","拉完了","2","7","日常满足","[示例评价] 想吃得踏实的时候可以点NZ envy apple：苹果让味道有内容，分量和满足感也比较适合日常解决一餐。","a87424e3b132b86522a8f254"
"2","Sitrus盛果庄 Fruit store","BELL","5","China Sweat Tangerine中国小甜橘","8","人上人","1","2","风味平衡","[示例评价] China Sweat Tangerine中国小甜橘把甜味的味道收得比较平衡，不会只剩单一的咸或甜；喜欢清爽口味的话可以少加酱汁。","fc3cf53642a2d85c6501ee8d"
"2","Sitrus盛果庄 Fruit store","BELL","5","China Sweat Tangerine中国小甜橘","6","拉完了","2","3","口感变化","[示例评价] 这道China Sweat Tangerine中国小甜橘有意思的地方在口感变化：甜味带来不同的咀嚼感，慢慢吃比急着吞更能尝出细节。","962379d721f4e387f45c5a54"
"2","Sitrus盛果庄 Fruit store","BELL","6","Egypt lemon埃及柠檬","10","夯爆了","1","6","收尾回味","[示例评价] 咽下去以后还能留住一点整体风味的回味，Egypt lemon埃及柠檬不是只靠第一口取胜，后段味道也有记忆点。","3aa83f97a607d8e7cb553932"
"2","Sitrus盛果庄 Fruit store","BELL","6","Egypt lemon埃及柠檬","6","拉完了","2","7","日常满足","[示例评价] 想吃得踏实的时候可以点Egypt lemon埃及柠檬：整体风味让味道有内容，分量和满足感也比较适合日常解决一餐。","17022d9d7a8a5086f8cdb210"
"3","兰州拉面","D6","59","兰州牛肉面/Traditional beef noodle soup","9","顶级","1","10","复购判断","[示例评价] 这道兰州牛肉面/Traditional beef noodle soup的优点是牛肉、面条、汤各有分工，吃完不会觉得味道散；如果这次合口味，下次还会想再点。","be4c275e4009994b40f5cd00"
